rank,name,team,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SAC,SF,XBH,GO,AO,GO/AO,GW RBI,BB/K,P/PA,ISOP,XR,GPA
1,±èÇö¼ö,LG,0.362,117,511,453,95,164,39,2,20,267,101,0,10,61,136,102,1.33,8,0.77,3.66,0.227,99.3,0.334
2,ÀÌÁ¤ÈÄ,³Ø¼¾,0.359,96,458,407,70,146,28,1,5,191,52,3,8,34,103,115,0.9,4,0.65,3.74,0.111,76,0.301
3,±èÁÖÂù,KIA,0.351,100,395,362,59,127,20,0,16,195,80,2,8,36,86,110,0.78,8,0.38,3.38,0.188,68.2,0.307
4,¾ÈÄ¡È«,KIA,0.349,109,460,418,79,146,31,1,22,245,104,0,7,54,92,138,0.67,13,0.57,3.43,0.237,87.3,0.323
5,¾çÀÇÁö,µÎ»ê,0.348,120,450,394,74,137,26,1,21,228,69,0,6,48,85,144,0.59,6,1.15,3.66,0.231,86.5,0.332
6,ÀüÁØ¿ì,·Ôµ¥,0.343,123,517,472,94,162,32,2,27,279,73,1,2,61,115,124,0.93,3,0.49,3.76,0.248,97.4,0.326
7,À¯ÇÑÁØ,KT,0.343,104,402,362,50,124,19,1,17,196,69,1,1,37,90,102,0.88,8,0.77,3.85,0.199,70.9,0.317
8,±èÀçÈ¯,µÎ»ê,0.342,125,551,482,94,165,35,1,42,328,121,0,7,78,90,112,0.8,15,0.44,3.82,0.338,122.5,0.355
9,¹Úº´È£,³Ø¼¾,0.342,101,437,357,76,122,17,0,40,259,107,0,3,57,67,72,0.93,8,0.63,4.15,0.384,104,0.386
10,ÀÌ´ëÈ£,·Ôµ¥,0.337,123,514,457,69,154,29,0,29,270,100,0,4,58,106,137,0.77,12,0.63,3.72,0.254,96.7,0.329
11,Ã¤Àº¼º,LG,0.332,126,522,476,71,158,33,2,22,261,107,0,5,57,115,119,0.97,6,0.37,3.73,0.216,90.2,0.308
12,¼Õ¾Æ¼·,·Ôµ¥,0.331,123,551,490,100,162,29,4,23,268,81,1,1,56,161,78,2.06,8,0.63,4.01,0.216,99.5,0.318
13,ÃÖÇü¿ì,KIA,0.33,122,520,449,83,148,31,1,23,250,89,0,7,55,107,126,0.85,9,0.77,4.11,0.227,94.5,0.323
14,ÀÌÀç¿ø,SK,0.33,115,411,352,54,116,21,0,15,182,48,4,3,36,92,90,1.02,2,0.75,4.09,0.188,70.3,0.315
15,·¯ÇÁ,»ï¼º,0.329,123,531,456,83,150,31,4,25,264,104,0,7,60,105,114,0.92,7,0.54,4.11,0.25,98.2,0.33
16,¿ÀÀç¿ø,µÎ»ê,0.329,117,468,423,72,139,21,1,15,207,74,3,2,37,110,78,1.41,11,0.39,3.85,0.161,72.8,0.296
17,Çã°æ¹Î,µÎ»ê,0.328,117,503,448,75,147,25,5,9,209,72,5,7,39,129,138,0.93,7,0.71,3.74,0.138,76.6,0.289
18,ÃÖÁÖÈ¯,µÎ»ê,0.322,122,518,456,76,147,34,6,23,262,95,0,8,63,93,147,0.63,11,0.6,4.22,0.252,97.4,0.318
19,±¸ÀÚ¿í,»ï¼º,0.322,102,463,419,84,135,22,5,16,215,73,0,2,43,82,108,0.76,8,0.39,3.98,0.191,78.5,0.3
20,ÀÌÇüÁ¾,LG,0.319,107,447,404,75,129,25,0,11,187,36,5,0,36,103,94,1.1,4,0.35,3.72,0.144,65.7,0.286
21,È£À×,ÇÑÈ­,0.319,126,522,470,78,150,45,2,29,286,103,0,4,76,92,152,0.61,13,0.54,3.87,0.289,100,0.323
22,¹Ú°Ç¿ì,µÎ»ê,0.319,108,452,417,65,133,22,6,8,191,66,1,2,36,110,121,0.91,8,0.42,3.45,0.139,64,0.279
23,³ª¼º¹ü,NC,0.319,129,554,499,97,159,33,3,21,261,83,0,4,57,129,96,1.34,12,0.32,3.76,0.204,94.2,0.301
24,³ë¼ö±¤,SK,0.316,125,541,471,84,149,19,8,6,202,49,9,3,33,121,122,0.99,6,0.56,3.98,0.113,82.1,0.282
25,¼Û±¤¹Î,ÇÑÈ­,0.315,103,422,397,60,125,23,0,16,196,71,0,4,39,107,83,1.29,7,0.2,3.55,0.179,61.8,0.279
26,·ÎÇÏ½º,KT,0.314,127,564,493,102,155,28,1,38,299,103,1,2,67,114,106,1.08,7,0.52,4.06,0.292,108.1,0.33
